model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
omegafold,T1137s4,3,255.632145803332,25.64512584449277,0.10032042630594115,240.04715120799665,285.2306844010018,255.632145803332,25.64512584449277,0.10032042630594115,False
esmfold,T1120,3,48.26178167936572,4.826715363306315,0.10001113086485933,45.34697441599928,53.833198578096926,48.26178167936572,4.826715363306315,0.10001113086485933,False
omegafold,T1133,3,296.71049696665915,29.64613897035955,0.09991604366356759,278.88112306299445,330.93286309897667,296.71049696665915,29.64613897035955,0.09991604366356759,False
esmfold,T1122,3,48.778295901283855,4.676419710278424,0.0958709119265345,45.5598960500065,54.14253618684597,48.778295901283855,4.676419710278424,0.0958709119265345,False
esmfold,T1137s9,3,51.72385364565707,4.798923103922305,0.09277968994340854,48.681885983998654,57.25600781897083,51.72385364565707,4.798923103922305,0.09277968994340854,False
omegafold,T1137s6,3,224.89955054833504,20.55780010969482,0.09140880921981466,212.3511693449982,248.62443575600628,224.89955054833504,20.55780010969482,0.09140880921981466,False
esmfold,T1185s4,3,50.97124738667238,4.650986843137146,0.09124726353770293,48.07218517900037,56.33591033401899,50.97124738667238,4.650986843137146,0.09124726353770293,False
esmfold,T1114s1,3,46.28542048202871,4.222236221263214,0.09122173196854905,43.72620196199932,51.158785317093134,46.28542048202871,4.222236221263214,0.09122173196854905,False
omegafold,T1137s3,3,223.58052837233603,20.32291050081945,0.09089749741969944,211.1626286059909,247.03382559801685,223.58052837233603,20.32291050081945,0.09089749741969944,False
esmfold,T1272s5,3,51.57148697567269,4.506283481695753,0.08737935913737484,48.755228738998994,56.7688255070243,51.57148697567269,4.506283481695753,0.08737935913737484,False
esmfold,T1272s4,3,51.66226431033525,4.481256985870979,0.0867413971434172,48.61595363000379,56.80780251300894,51.66226431033525,4.481256985870979,0.0867413971434172,False
esmfold,T1137s8,3,49.996366995025404,4.201509761238669,0.08403630131078756,47.381401318001735,54.84279743907973,49.996366995025404,4.201509761238669,0.08403630131078756,False
esmfold,T1280,3,47.9090572146888,3.906787393251299,0.08154590426908855,45.47251999499713,52.41525108506903,47.9090572146888,3.906787393251299,0.08154590426908855,False
omegafold,T1137s9,3,63.37581504700696,5.02211313237638,0.07924336955116695,60.450204584005405,69.17477328301175,63.37581504700696,5.02211313237638,0.07924336955116695,False
omegafold,T1134s2,3,73.1794824879956,5.776998089653612,0.0789428661319281,69.78912764300185,79.84988125698874,73.1794824879956,5.776998089653612,0.0789428661319281,False
esmfold,T1106s1,3,44.31711503399856,3.4960238754367396,0.07888654017200152,41.97071624099772,48.33513295999728,44.31711503399856,3.4960238754367396,0.07888654017200152,False
